id,ip
0,192.168.0.18:8080
1,192.168.0.18:50180
2,192.168.0.18:50180
3,192.168.0.18:50180
4,192.168.0.18:50180
5,192.168.0.18:50180
6,192.168.0.18:50180
7,192.168.0.18:50180
8,192.168.0.18:50180
9,192.168.0.18:50180
10,192.168.0.18:50180
11,192.168.0.18:50180
12,192.168.0.18:50180
13,192.168.0.18:50180
14,192.168.0.18:50180
15,192.168.0.18:50180
16,192.168.0.18:50180
17,192.168.0.18:65309
18,192.168.0.18:65377
19,192.168.0.18:65377
20,192.168.0.18:65377
21,192.168.0.18:65377
22,192.168.0.18:65402
23,192.168.0.18:65496
24,192.168.0.18:65523
25,192.168.0.18:52916
26,10.20.30.140:62125
